Material,Kategorie,Dichte (g/cm³),Farbe,Recycelbar (1/0),CO2-Ausstoß (kg CO2/kg),Einkaufspreis (€/kg),Biegbarkeit (1-10),Rissfestigkeit (1-10),Brennbarkeit (1-10),Toxizität (1-10),Anwendungsbeispiele
Karton,Papier,0.7,Braun,1,1.5,0.5,8,5,8,1,Verpackung von Paketen
Glas,Mineral,2.5,Klar,1,0.9,1.0,1,9,1,1,Getränkeverpackungen
Metall,Metall,7.8,Silber,1,3.0,3.5,2,10,1,3,Lebensmittelverpackungen
Kunststoff,Kunststoff,0.9,Verschiedene,1,2.0,1.2,7,5,7,5,Flaschen
Holz,Holz,0.6,Braun,1,1.8,0.8,5,6,6,2,Möbelverpackung
Aluminium,Metall,2.7,Silber,1,4.0,4.2,2,9,1,4,Getränkedosen
Papier,Papier,0.6,Weiß,1,1.2,0.4,9,4,9,1,Zeitungspapier
Stahl,Metall,7.9,Silber,1,5.0,2.5,1,10,1,2,Maschinenteile
Bioplastik,Biopolymer,1.2,Grün,1,0.5,2.0,6,7,4,3,Biologisch abbaubare Tüten
Textil,Faser,1.3,Verschiedene,0,2.5,1.7,7,6,8,2,Bekleidung
Keramik,Mineral,2.3,Weiß,1,1.7,1.8,2,8,1,1,Schüssel
Polyethylen,Kunststoff,0.95,Transparent,1,2.2,1.3,9,5,7,4,Frischhaltefolie
Polypropylen,Kunststoff,0.91,Transparent,1,2.1,1.4,8,6,7,4,Lagerbehälter
Jute,Faser,1.5,Braun,1,1.1,1.0,6,5,8,1,Säcke
Bambus,Pflanze,0.8,Grün,1,1.3,0.7,8,7,5,2,Umweltfreundliche Verpackung
PVC,Kunststoff,1.4,Grau,0,3.5,2.3,4,4,8,6,Schläuche
Kautschuk,Natur,0.92,Schwarz,1,2.8,1.5,9,7,6,3,Gummidichtungen
Leder,Natur,0.9,Braun,0,2.4,3.0,5,6,5,5,Gürtel
Wolle,Faser,1.3,Weiß,0,1.0,2.8,6,5,9,2,Wärmedämmung
Zellulose,Natur,1.5,Weiß,1,0.9,1.2,7,4,8,1,Lebensmittelverpackung
